Country Name,Year,Birth Rate,GDP,Unemployment Rate,Female Labour Force,Health/GDP
Uzbekistan,1987,4.5,8523160592.61112,5.2,38.2682056195572,4.743
Albania,1988,3.004,2051236250.0,6.033,41.1321113672118,4.743
Armenia,1988,2.68,2256863448.77086,38.4,47.7651733712082,4.743
Austria,1988,1.45,132817124707.456,2.676,40.926401267308,4.743
Azerbaijan,1988,2.8,8884848484.84848,11.777,49.0696205706327,5.665
Belgium,1988,1.57,162299103675.261,8.833,39.0304917623184,5.665
Bulgaria,1988,1.97,22555941176.4706,0.025,47.256276089319,4.128
Bosnia and Herzegovina,1988,1.873,7753478260.86957,70.0,40.7208627387751,4.786
Belarus,1988,2.031,17389558232.9317,6.281,48.6605375114777,4.786
Switzerland,1988,1.57,215540625298.982,0.72,41.5096545678413,4.786
Cyprus,1988,2.477,4278792597.23965,2.8,35.0706676643938,2.244
Czechia,1988,1.94,41016881802.4843,4.0,44.6367742241851,3.604
Germany,1988,1.46,1406367016371.53,7.735,40.6131953454893,6.624
Denmark,1988,1.56,115540189705.118,5.658,46.4031459405589,6.899
Spain,1988,1.45,375891716897.586,19.238,34.4780602338429,4.447
Estonia,1988,2.27,4013091682.2914,6.526,47.7367608337971,4.366
Finland,1988,1.69,109039090262.971,4.208,47.1837755373898,5.262
France,1988,1.81,1010827662151.75,8.842,43.4519761541884,5.7283096
United Kingdom,1988,1.82,910122732123.799,8.575,43.7226908505045,4.331
Georgia,1988,2.232,8833588173.40023,12.715,47.6128991114323,2.967
Greece,1988,1.5,75200610136.9205,7.7,36.1141592284947,2.967
Croatia,1988,1.79,25650213279.6781,13.159,42.7671318971182,5.876
Hungary,1988,1.81,29702631093.8815,0.463,47.2703445615671,5.602
Ireland,1988,2.17,37772897420.5159,18.4,35.0639585458911,4.436
Iceland,1988,2.26,6106635816.24587,0.636,45.8196963048748,6.906
Italy,1988,1.36,893663934840.821,9.683,36.2814302028116,5.389
Kazakhstan,1988,3.13,26932016269.6107,7.536,48.6937262088838,4.247
Lithuania,1988,2.02,7921210339.58439,14.6,48.2197953552337,4.247
Luxembourg,1988,1.51,9418167855.18376,1.536,34.8169221459008,4.879
Latvia,1988,2.11,5608208784.9401,3.178,47.4601981262719,2.758
Moldova,1988,2.631,3592857043.05057,2.899,51.5948668570447,4.707
North Macedonia,1988,2.234,4699646643.10954,31.992,42.6945845958748,4.707
Netherlands,1988,1.55,262295966105.474,6.247,42.7239705488286,4.707
Norway,1988,1.84,101900260856.222,3.149,44.108190033712,5.888
Poland,1988,2.13,65977748210.5263,6.3,45.6092746396159,3.936
Portugal,1988,1.61,56347250696.3788,7.069,42.3017422283468,3.185
